source,task_id,task_name,split,n_videos,n_canonical_steps,train_token_coverage
coin,75,IronClothes,train,73,6,1.0
coin,76,PractiseKarate,train,101,3,1.0
coin,77,LubricateALock,train,40,3,1.0
coin,78,MakePaperDice,test,40,5,0.8889
coin,79,MakeBurger,train,88,3,1.0
coin,80,MakeCandle,train,52,5,1.0
coin,81,MakeChineseLantern,train,89,7,1.0
coin,82,MakeCocktail,test,84,5,0.8947
coin,83,MakeFrenchFries,val,93,4,0.85
coin,84,MakeHomemadeIceCream,train,74,4,1.0
coin,85,MakeLambKebab,train,58,6,1.0
coin,86,MakeMatchaTea,train,102,4,1.0
coin,87,MakeOrangeJuice,train,54,3,1.0
coin,88,MakePickles,train,85,3,1.0
coin,89,MakePizza,train,88,4,1.0
coin,90,MakeRJ45Cable,train,91,5,1.0
coin,91,MakeSalad,test,90,3,0.9167
coin,92,MakeSalmon,train,100,5,1.0
coin,93,MakeSandwich,train,80,5,1.0
coin,94,MakeSoap,train,83,4,1.0
coin,95,MakeStrawberrySmoothie,train,97,4,1.0
coin,96,MakeSugarCoatedHaws,train,40,3,1.0
coin,97,MakeWirelessEarbuds,train,56,5,1.0
coin,98,MakeBed,train,60,5,1.0
coin,99,MakeCoffee,test,48,5,0.9412
coin,100,MakeTea,test,47,6,0.9048
coin,101,ChangeMobilePhoneBattery,val,54,8,0.8333
coin,102,ReplaceMobileScreenProtector,train,113,4,1.0
coin,103,AttendNBASkillsChallenge,train,80,6,1.0
coin,104,OpenALockWithPaperclips,train,100,4,1.0
coin,105,OpenChampagneBottle,train,102,3,1.0
coin,106,OperateFireExtinguisher,train,93,3,1.0
coin,107,PackSleepingBag,train,52,2,1.0
coin,108,PerformPaperToMoneyTrick,val,53,3,0.8667
coin,109,MakePaperWindMill,train,106,4,1.0
coin,110,ParkParallel,train,44,3,1.0
coin,111,GiveAnIntramuscularInjection,train,90,4,1.0
coin,112,PerformCPR,train,87,6,1.0
coin,113,PitchATent,train,76,6,1.0
coin,114,PlantTree,train,45,4,1.0
coin,115,PlayFrisbeeWithADog,train,40,3,1.0
coin,116,PractisePoleVault,train,40,3,1.0
coin,117,PrepareCanvas,train,40,2,1.0
coin,118,PrepareStandardSolution,train,51,4,1.0
coin,119,PrepareSumiInk,train,40,2,1.0
coin,120,PumpUpBicycleTire,test,57,5,0.9524
coin,121,PutOnQuiltCover,train,40,5,1.0
coin,122,PutOnHairExtensions,train,121,3,1.0
coin,123,RefillFountainPen,train,57,3,1.0
coin,124,RefillALighter,train,88,3,1.0
coin,125,RefillAStapler,train,58,3,1.0
coin,126,RefillCartridge,test,55,3,0.9286
coin,127,RemoveScratchesFromWindshield,train,40,3,1.0
coin,128,ReplaceABulb,test,100,4,0.8235
coin,129,ReplaceAWiperHead,train,90,6,1.0
coin,130,ReplaceBladeOfASaw,test,101,4,0.8889
coin,131,ReplaceCDDriveWithSSD,train,102,5,1.0
coin,132,ReplaceCarFuse,val,42,4,0.8667
coin,133,ReplaceDoorKnob,train,98,5,1.0
coin,134,ReplaceDrumhead,val,43,4,0.8462
coin,135,ReplaceElectricalOutlet,train,47,6,1.0
coin,136,ReplaceFaucet,train,70,5,1.0
coin,137,ReplaceFilterForAirPurifier,train,99,6,1.0
coin,138,ReplaceLaptopScreen,test,98,5,0.9167
coin,139,ReplaceLightSocket,test,83,5,0.8333
coin,140,ReplaceRefrigeratorWaterFilter,val,98,3,0.875
coin,141,ReplaceSIMCard,train,86,3,1.0
coin,142,ReplaceSewingMachineNeedle,test,58,3,0.9091
coin,143,ReplaceRearviewMirrorGlass,train,88,4,1.0
coin,144,ReplaceGraphicsCard,val,42,4,0.875
coin,145,ReplaceHardDisk,val,91,4,0.8667
coin,146,ReplaceMemoryChip,train,95,4,1.0
coin,147,ReplaceToiletSeat,test,51,4,0.9375
coin,148,ResizeWatchBand,test,59,7,0.8333
coin,149,RewrapBattery,train,40,4,1.0
coin,150,RoastChestnut,val,73,5,0.8696
coin,151,SetUpAHamsterCage,val,40,4,0.8636
coin,152,UseSewingMachine,train,60,3,1.0
coin,153,ShaveBeard,train,47,6,1.0
coin,154,PractiseSkiingAerials,train,40,4,1.0
coin,155,SmashGarlic,train,40,4,1.0
coin,156,Sow,train,128,6,1.0
coin,157,AssembleOfficeChair,train,104,3,1.0
coin,158,TieBoatToDock,train,48,3,1.0
coin,159,Transplant,val,91,4,0.8667
coin,160,PractiseTripleJump,train,40,3,1.0
coin,161,ReplaceTyreValveStem,train,80,4,1.0
coin,162,UnclogSinkWithBakingSoda,train,52,4,1.0
coin,163,UseVendingMachine,train,97,3,1.0
coin,164,UseEarplugs,train,48,3,1.0
coin,165,MakeSlimeWithGlue,train,98,3,1.0
coin,166,RemoveBlackheadsWithGlue,train,98,3,1.0
coin,167,UseJack,val,44,4,0.8462
coin,168,UseRiceCookerToCookRice,train,101,4,1.0
coin,169,UseSoyMilkMaker,train,51,5,1.0
coin,170,UseTappingGun,train,40,5,1.0
coin,171,UseToaster,test,56,3,0.8824
coin,172,PerformVanishingGlassTrick,train,41,3,1.0
coin,173,UseVolumetricFlask,test,48,4,0.9286
coin,174,WashDog,test,43,2,0.8889
coin,175,WashHair,test,84,7,0.88
coin,176,WearContactLenses,train,40,3,1.0
coin,177,WearShinGuards,train,40,3,1.0
coin,178,PractiseWeightLift,train,40,6,1.0
coin,179,WrapGiftBox,train,61,4,1.0
crosstask,16815,Jack Up a Car,train,74,3,1.0
crosstask,23521,Make Jello Shots,train,181,6,1.0
crosstask,40567,Change a Tire,train,98,11,1.0
crosstask,44047,Make Lemonade,train,131,8,1.0
crosstask,44789,Add Oil to Your Car,train,135,8,1.0
crosstask,53193,Make a Latte,train,151,6,1.0
crosstask,59684,Build Simple Floating Shelves,train,137,5,1.0
crosstask,71781,Make Taco Salad,train,167,8,1.0
crosstask,76400,Make French Toast,train,251,10,1.0
crosstask,77721,Make Irish Coffee,train,184,5,1.0
crosstask,87706,Make French Strawberry Cake,train,86,9,1.0
crosstask,91515,Make Pancakes,train,182,8,1.0
crosstask,94276,Make Meringue,train,153,6,1.0
crosstask,95603,Make Kerala Fish Curry,train,149,7,1.0
crosstask,105222,Make Kimchi Fried Rice,train,119,6,1.0
crosstask,105253,Make Bread and Butter Pickles,train,103,11,1.0
crosstask,109972,Make Banana Ice Cream,train,163,5,1.0
crosstask,113766,Grill Steak,train,228,11,1.0
