task_id,task_name,video_id,step_idx,action,state_change,next_step_idx,next_action,next_state_change,action_start,action_end,next_action_start,next_action_end,canonical_order,next_canonical_order,is_in_order,task_goal,remaining_plan,plan_progress
91515,Make Pancakes,mrZ4iZxCdFk,7,flip pancake,Pancake is now flipped over.,8,take pancake from pan,The pancake is now removed from the pan.,60.59,65.25,71.07,72.96,7,8,True,Complete the task: Make Pancakes.,take pancake from pan,0.75
91515,Make Pancakes,mrZ4iZxCdFk,8,take pancake from pan,The pancake is now removed from the pan.,6,pour mixture into pan,The mixture is now poured into the pan.,71.07,72.96,75.64,78.83,8,6,False,Complete the task: Make Pancakes.,(task complete),0.875
91515,Make Pancakes,mrZ4iZxCdFk,6,pour mixture into pan,The mixture is now poured into the pan.,8,take pancake from pan,The pancake is now removed from the pan.,75.64,78.83,83.58,85.97,6,8,True,Complete the task: Make Pancakes.,(task complete),0.875
91515,Make Pancakes,OdO9xCoIb3Q,4,pour egg,Egg is now poured in.,5,whisk mixture,Mixture is now whisked until smooth.,78.86,89.7,109.1,138.2,4,5,True,Complete the task: Make Pancakes.,whisk mixture -> pour mixture into pan -> flip pancake -> take pancake from pan,0.125
91515,Make Pancakes,OdO9xCoIb3Q,5,whisk mixture,Mixture is now whisked until smooth.,6,pour mixture into pan,The mixture is now poured into the pan.,109.1,138.2,168.8,173.0,5,6,True,Complete the task: Make Pancakes.,pour mixture into pan -> flip pancake -> take pancake from pan,0.25
91515,Make Pancakes,OdO9xCoIb3Q,6,pour mixture into pan,The mixture is now poured into the pan.,7,flip pancake,Pancake is now flipped over.,168.8,173.0,199.24,202.24,6,7,True,Complete the task: Make Pancakes.,flip pancake -> take pancake from pan,0.375
91515,Make Pancakes,OdO9xCoIb3Q,7,flip pancake,Pancake is now flipped over.,8,take pancake from pan,The pancake is now removed from the pan.,199.24,202.24,233.82,240.82,7,8,True,Complete the task: Make Pancakes.,take pancake from pan,0.5
91515,Make Pancakes,Ljj3yhmMt1s,1,add flour,Flour is now added to the mixture.,2,add sugar,Sugar is now added to the mixture.,78.67,79.77,80.79,81.49,1,2,True,Complete the task: Make Pancakes.,add sugar -> pour milk -> pour egg -> whisk mixture -> pour mixture into pan -> flip pancake -> take pancake from pan,0.125
91515,Make Pancakes,Ljj3yhmMt1s,2,add sugar,Sugar is now added to the mixture.,4,pour egg,Egg is now poured in.,80.79,81.49,86.24,88.14,2,4,True,Complete the task: Make Pancakes.,pour milk -> pour egg -> whisk mixture -> pour mixture into pan -> flip pancake -> take pancake from pan,0.25
91515,Make Pancakes,Ljj3yhmMt1s,4,pour egg,Egg is now poured in.,3,pour milk,Milk is now poured in.,86.24,88.14,89.45,92.05,4,3,False,Complete the task: Make Pancakes.,whisk mixture -> pour mixture into pan -> flip pancake -> take pancake from pan,0.375
91515,Make Pancakes,Ljj3yhmMt1s,3,pour milk,Milk is now poured in.,5,whisk mixture,Mixture is now whisked until smooth.,89.45,92.05,92.15,95.65,3,5,True,Complete the task: Make Pancakes.,whisk mixture -> pour mixture into pan -> flip pancake -> take pancake from pan,0.5
91515,Make Pancakes,Ljj3yhmMt1s,5,whisk mixture,Mixture is now whisked until smooth.,6,pour mixture into pan,The mixture is now poured into the pan.,92.15,95.65,103.73,107.63,5,6,True,Complete the task: Make Pancakes.,pour mixture into pan -> flip pancake -> take pancake from pan,0.625
91515,Make Pancakes,Ljj3yhmMt1s,6,pour mixture into pan,The mixture is now poured into the pan.,7,flip pancake,Pancake is now flipped over.,103.73,107.63,108.11,111.11,6,7,True,Complete the task: Make Pancakes.,flip pancake -> take pancake from pan,0.75
91515,Make Pancakes,Ljj3yhmMt1s,7,flip pancake,Pancake is now flipped over.,8,take pancake from pan,The pancake is now removed from the pan.,108.11,111.11,111.87,115.07,7,8,True,Complete the task: Make Pancakes.,take pancake from pan,0.875
91515,Make Pancakes,oksqDooy6Ls,1,add flour,Flour is now added to the mixture.,1,add flour,Flour is now added to the mixture.,78.86,91.45,79.06,92.33,1,1,True,Complete the task: Make Pancakes.,add sugar -> pour milk -> pour egg -> whisk mixture -> pour mixture into pan -> flip pancake -> take pancake from pan,0.125
91515,Make Pancakes,oksqDooy6Ls,1,add flour,Flour is now added to the mixture.,4,pour egg,Egg is now poured in.,79.06,92.33,118.95,129.86,1,4,True,Complete the task: Make Pancakes.,add sugar -> pour milk -> pour egg -> whisk mixture -> pour mixture into pan -> flip pancake -> take pancake from pan,0.125
91515,Make Pancakes,oksqDooy6Ls,4,pour egg,Egg is now poured in.,4,pour egg,Egg is now poured in.,118.95,129.86,119.45,132.16,4,4,True,Complete the task: Make Pancakes.,whisk mixture -> pour mixture into pan -> flip pancake -> take pancake from pan,0.25
91515,Make Pancakes,oksqDooy6Ls,4,pour egg,Egg is now poured in.,5,whisk mixture,Mixture is now whisked until smooth.,119.45,132.16,131.14,137.55,4,5,True,Complete the task: Make Pancakes.,whisk mixture -> pour mixture into pan -> flip pancake -> take pancake from pan,0.25
91515,Make Pancakes,oksqDooy6Ls,5,whisk mixture,Mixture is now whisked until smooth.,5,whisk mixture,Mixture is now whisked until smooth.,131.14,137.55,132.3,137.23,5,5,True,Complete the task: Make Pancakes.,pour mixture into pan -> flip pancake -> take pancake from pan,0.375
91515,Make Pancakes,oksqDooy6Ls,5,whisk mixture,Mixture is now whisked until smooth.,3,pour milk,Milk is now poured in.,132.3,137.23,154.96,173.9,5,3,False,Complete the task: Make Pancakes.,pour mixture into pan -> flip pancake -> take pancake from pan,0.375
91515,Make Pancakes,oksqDooy6Ls,3,pour milk,Milk is now poured in.,3,pour milk,Milk is now poured in.,154.96,173.9,155.08,158.32,3,3,True,Complete the task: Make Pancakes.,pour mixture into pan -> flip pancake -> take pancake from pan,0.5
91515,Make Pancakes,oksqDooy6Ls,3,pour milk,Milk is now poured in.,5,whisk mixture,Mixture is now whisked until smooth.,155.08,158.32,158.91,192.34,3,5,True,Complete the task: Make Pancakes.,pour mixture into pan -> flip pancake -> take pancake from pan,0.5
91515,Make Pancakes,oksqDooy6Ls,5,whisk mixture,Mixture is now whisked until smooth.,5,whisk mixture,Mixture is now whisked until smooth.,158.91,192.34,160.19,169.07,5,5,True,Complete the task: Make Pancakes.,pour mixture into pan -> flip pancake -> take pancake from pan,0.5
91515,Make Pancakes,oksqDooy6Ls,5,whisk mixture,Mixture is now whisked until smooth.,3,pour milk,Milk is now poured in.,160.19,169.07,170.87,173.87,5,3,False,Complete the task: Make Pancakes.,pour mixture into pan -> flip pancake -> take pancake from pan,0.5
91515,Make Pancakes,oksqDooy6Ls,3,pour milk,Milk is now poured in.,5,whisk mixture,Mixture is now whisked until smooth.,170.87,173.87,175.51,182.04,3,5,True,Complete the task: Make Pancakes.,pour mixture into pan -> flip pancake -> take pancake from pan,0.5
91515,Make Pancakes,oksqDooy6Ls,5,whisk mixture,Mixture is now whisked until smooth.,5,whisk mixture,Mixture is now whisked until smooth.,175.51,182.04,189.82,191.53,5,5,True,Complete the task: Make Pancakes.,pour mixture into pan -> flip pancake -> take pancake from pan,0.5
91515,Make Pancakes,oksqDooy6Ls,5,whisk mixture,Mixture is now whisked until smooth.,6,pour mixture into pan,The mixture is now poured into the pan.,189.82,191.53,276.09,281.77,5,6,True,Complete the task: Make Pancakes.,pour mixture into pan -> flip pancake -> take pancake from pan,0.5
91515,Make Pancakes,oksqDooy6Ls,6,pour mixture into pan,The mixture is now poured into the pan.,6,pour mixture into pan,The mixture is now poured into the pan.,276.09,281.77,277.34,280.6,6,6,True,Complete the task: Make Pancakes.,flip pancake -> take pancake from pan,0.625
91515,Make Pancakes,oksqDooy6Ls,6,pour mixture into pan,The mixture is now poured into the pan.,7,flip pancake,Pancake is now flipped over.,277.34,280.6,322.68,325.41,6,7,True,Complete the task: Make Pancakes.,flip pancake -> take pancake from pan,0.625
91515,Make Pancakes,oksqDooy6Ls,7,flip pancake,Pancake is now flipped over.,7,flip pancake,Pancake is now flipped over.,322.68,325.41,323.84,324.62,7,7,True,Complete the task: Make Pancakes.,take pancake from pan,0.75
91515,Make Pancakes,oksqDooy6Ls,7,flip pancake,Pancake is now flipped over.,6,pour mixture into pan,The mixture is now poured into the pan.,323.84,324.62,340.99,347.18,7,6,False,Complete the task: Make Pancakes.,take pancake from pan,0.75
91515,Make Pancakes,oksqDooy6Ls,6,pour mixture into pan,The mixture is now poured into the pan.,6,pour mixture into pan,The mixture is now poured into the pan.,340.99,347.18,341.58,346.4,6,6,True,Complete the task: Make Pancakes.,take pancake from pan,0.75
91515,Make Pancakes,oksqDooy6Ls,6,pour mixture into pan,The mixture is now poured into the pan.,7,flip pancake,Pancake is now flipped over.,341.58,346.4,374.27,376.0,6,7,True,Complete the task: Make Pancakes.,take pancake from pan,0.75
91515,Make Pancakes,oksqDooy6Ls,7,flip pancake,Pancake is now flipped over.,7,flip pancake,Pancake is now flipped over.,374.27,376.0,374.77,375.86,7,7,True,Complete the task: Make Pancakes.,take pancake from pan,0.75
91515,Make Pancakes,oksqDooy6Ls,7,flip pancake,Pancake is now flipped over.,7,flip pancake,Pancake is now flipped over.,374.77,375.86,392.71,398.77,7,7,True,Complete the task: Make Pancakes.,take pancake from pan,0.75
91515,Make Pancakes,oksqDooy6Ls,7,flip pancake,Pancake is now flipped over.,7,flip pancake,Pancake is now flipped over.,392.71,398.77,394.02,399.46,7,7,True,Complete the task: Make Pancakes.,take pancake from pan,0.75
91515,Make Pancakes,oksqDooy6Ls,7,flip pancake,Pancake is now flipped over.,8,take pancake from pan,The pancake is now removed from the pan.,394.02,399.46,406.69,409.04,7,8,True,Complete the task: Make Pancakes.,take pancake from pan,0.75
91515,Make Pancakes,oksqDooy6Ls,8,take pancake from pan,The pancake is now removed from the pan.,8,take pancake from pan,The pancake is now removed from the pan.,406.69,409.04,406.79,408.55,8,8,True,Complete the task: Make Pancakes.,(task complete),0.875
91515,Make Pancakes,oksqDooy6Ls,8,take pancake from pan,The pancake is now removed from the pan.,2,add sugar,Sugar is now added to the mixture.,406.79,408.55,427.12,430.84,8,2,False,Complete the task: Make Pancakes.,(task complete),0.875
91515,Make Pancakes,jIZ408lTeiU,1,add flour,Flour is now added to the mixture.,2,add sugar,Sugar is now added to the mixture.,21.1,24.93,52.38,57.87,1,2,True,Complete the task: Make Pancakes.,add sugar -> pour milk -> pour egg -> whisk mixture -> pour mixture into pan -> flip pancake -> take pancake from pan,0.125
91515,Make Pancakes,jIZ408lTeiU,2,add sugar,Sugar is now added to the mixture.,5,whisk mixture,Mixture is now whisked until smooth.,52.38,57.87,54.63,67.91,2,5,True,Complete the task: Make Pancakes.,pour milk -> pour egg -> whisk mixture -> pour mixture into pan -> flip pancake -> take pancake from pan,0.25
91515,Make Pancakes,jIZ408lTeiU,5,whisk mixture,Mixture is now whisked until smooth.,5,whisk mixture,Mixture is now whisked until smooth.,54.63,67.91,74.34,77.32,5,5,True,Complete the task: Make Pancakes.,pour mixture into pan -> flip pancake -> take pancake from pan,0.375
91515,Make Pancakes,jIZ408lTeiU,5,whisk mixture,Mixture is now whisked until smooth.,4,pour egg,Egg is now poured in.,74.34,77.32,90.9,95.06,5,4,False,Complete the task: Make Pancakes.,pour mixture into pan -> flip pancake -> take pancake from pan,0.375
91515,Make Pancakes,jIZ408lTeiU,4,pour egg,Egg is now poured in.,3,pour milk,Milk is now poured in.,90.9,95.06,100.11,104.63,4,3,False,Complete the task: Make Pancakes.,pour mixture into pan -> flip pancake -> take pancake from pan,0.5
91515,Make Pancakes,jIZ408lTeiU,3,pour milk,Milk is now poured in.,5,whisk mixture,Mixture is now whisked until smooth.,100.11,104.63,108.19,136.2,3,5,True,Complete the task: Make Pancakes.,pour mixture into pan -> flip pancake -> take pancake from pan,0.625
91515,Make Pancakes,jIZ408lTeiU,5,whisk mixture,Mixture is now whisked until smooth.,6,pour mixture into pan,The mixture is now poured into the pan.,108.19,136.2,162.3,191.41,5,6,True,Complete the task: Make Pancakes.,pour mixture into pan -> flip pancake -> take pancake from pan,0.625
91515,Make Pancakes,jIZ408lTeiU,6,pour mixture into pan,The mixture is now poured into the pan.,6,pour mixture into pan,The mixture is now poured into the pan.,162.3,191.41,214.44,222.96,6,6,True,Complete the task: Make Pancakes.,flip pancake -> take pancake from pan,0.75
91515,Make Pancakes,jIZ408lTeiU,6,pour mixture into pan,The mixture is now poured into the pan.,7,flip pancake,Pancake is now flipped over.,214.44,222.96,222.99,224.29,6,7,True,Complete the task: Make Pancakes.,flip pancake -> take pancake from pan,0.75
91515,Make Pancakes,jIZ408lTeiU,7,flip pancake,Pancake is now flipped over.,8,take pancake from pan,The pancake is now removed from the pan.,222.99,224.29,229.66,233.62,7,8,True,Complete the task: Make Pancakes.,take pancake from pan,0.875
91515,Make Pancakes,dbe9mUQs5EY,4,pour egg,Egg is now poured in.,4,pour egg,Egg is now poured in.,14.69,23.02,15.29,22.96,4,4,True,Complete the task: Make Pancakes.,whisk mixture -> pour mixture into pan -> flip pancake -> take pancake from pan,0.125
91515,Make Pancakes,dbe9mUQs5EY,4,pour egg,Egg is now poured in.,5,whisk mixture,Mixture is now whisked until smooth.,15.29,22.96,22.94,28.78,4,5,True,Complete the task: Make Pancakes.,whisk mixture -> pour mixture into pan -> flip pancake -> take pancake from pan,0.125
91515,Make Pancakes,dbe9mUQs5EY,5,whisk mixture,Mixture is now whisked until smooth.,5,whisk mixture,Mixture is now whisked until smooth.,22.94,28.78,23.03,28.39,5,5,True,Complete the task: Make Pancakes.,pour mixture into pan -> flip pancake -> take pancake from pan,0.25
91515,Make Pancakes,dbe9mUQs5EY,5,whisk mixture,Mixture is now whisked until smooth.,3,pour milk,Milk is now poured in.,23.03,28.39,28.72,32.91,5,3,False,Complete the task: Make Pancakes.,pour mixture into pan -> flip pancake -> take pancake from pan,0.25
91515,Make Pancakes,dbe9mUQs5EY,3,pour milk,Milk is now poured in.,3,pour milk,Milk is now poured in.,28.72,32.91,28.72,32.93,3,3,True,Complete the task: Make Pancakes.,pour mixture into pan -> flip pancake -> take pancake from pan,0.375
91515,Make Pancakes,dbe9mUQs5EY,3,pour milk,Milk is now poured in.,1,add flour,Flour is now added to the mixture.,28.72,32.93,33.06,35.46,3,1,False,Complete the task: Make Pancakes.,pour mixture into pan -> flip pancake -> take pancake from pan,0.375
91515,Make Pancakes,dbe9mUQs5EY,1,add flour,Flour is now added to the mixture.,1,add flour,Flour is now added to the mixture.,33.06,35.46,33.07,36.83,1,1,True,Complete the task: Make Pancakes.,pour mixture into pan -> flip pancake -> take pancake from pan,0.5
91515,Make Pancakes,dbe9mUQs5EY,1,add flour,Flour is now added to the mixture.,5,whisk mixture,Mixture is now whisked until smooth.,33.07,36.83,40.53,85.53,1,5,True,Complete the task: Make Pancakes.,pour mixture into pan -> flip pancake -> take pancake from pan,0.5
91515,Make Pancakes,dbe9mUQs5EY,5,whisk mixture,Mixture is now whisked until smooth.,5,whisk mixture,Mixture is now whisked until smooth.,40.53,85.53,40.56,91.24,5,5,True,Complete the task: Make Pancakes.,pour mixture into pan -> flip pancake -> take pancake from pan,0.5
91515,Make Pancakes,dbe9mUQs5EY,5,whisk mixture,Mixture is now whisked until smooth.,6,pour mixture into pan,The mixture is now poured into the pan.,40.56,91.24,99.02,106.45,5,6,True,Complete the task: Make Pancakes.,pour mixture into pan -> flip pancake -> take pancake from pan,0.5
91515,Make Pancakes,dbe9mUQs5EY,6,pour mixture into pan,The mixture is now poured into the pan.,6,pour mixture into pan,The mixture is now poured into the pan.,99.02,106.45,99.2,106.2,6,6,True,Complete the task: Make Pancakes.,flip pancake -> take pancake from pan,0.625
91515,Make Pancakes,dbe9mUQs5EY,6,pour mixture into pan,The mixture is now poured into the pan.,7,flip pancake,Pancake is now flipped over.,99.2,106.2,110.22,114.35,6,7,True,Complete the task: Make Pancakes.,flip pancake -> take pancake from pan,0.625
91515,Make Pancakes,dbe9mUQs5EY,7,flip pancake,Pancake is now flipped over.,7,flip pancake,Pancake is now flipped over.,110.22,114.35,112.19,113.74,7,7,True,Complete the task: Make Pancakes.,take pancake from pan,0.75
91515,Make Pancakes,dbe9mUQs5EY,7,flip pancake,Pancake is now flipped over.,8,take pancake from pan,The pancake is now removed from the pan.,112.19,113.74,119.93,120.84,7,8,True,Complete the task: Make Pancakes.,take pancake from pan,0.75
91515,Make Pancakes,dbe9mUQs5EY,8,take pancake from pan,The pancake is now removed from the pan.,8,take pancake from pan,The pancake is now removed from the pan.,119.93,120.84,120.02,122.31,8,8,True,Complete the task: Make Pancakes.,(task complete),0.875
91515,Make Pancakes,doifG6rDfb4,1,add flour,Flour is now added to the mixture.,3,pour milk,Milk is now poured in.,47.87,57.76,63.92,70.13,1,3,True,Complete the task: Make Pancakes.,add sugar -> pour milk -> pour egg -> whisk mixture -> pour mixture into pan -> flip pancake -> take pancake from pan,0.125
91515,Make Pancakes,doifG6rDfb4,3,pour milk,Milk is now poured in.,4,pour egg,Egg is now poured in.,63.92,70.13,71.87,79.92,3,4,True,Complete the task: Make Pancakes.,pour egg -> whisk mixture -> pour mixture into pan -> flip pancake -> take pancake from pan,0.25
91515,Make Pancakes,doifG6rDfb4,4,pour egg,Egg is now poured in.,5,whisk mixture,Mixture is now whisked until smooth.,71.87,79.92,101.98,120.78,4,5,True,Complete the task: Make Pancakes.,whisk mixture -> pour mixture into pan -> flip pancake -> take pancake from pan,0.375
91515,Make Pancakes,doifG6rDfb4,5,whisk mixture,Mixture is now whisked until smooth.,5,whisk mixture,Mixture is now whisked until smooth.,101.98,120.78,141.38,150.64,5,5,True,Complete the task: Make Pancakes.,pour mixture into pan -> flip pancake -> take pancake from pan,0.5
91515,Make Pancakes,doifG6rDfb4,5,whisk mixture,Mixture is now whisked until smooth.,6,pour mixture into pan,The mixture is now poured into the pan.,141.38,150.64,205.82,210.39,5,6,True,Complete the task: Make Pancakes.,pour mixture into pan -> flip pancake -> take pancake from pan,0.5
91515,Make Pancakes,doifG6rDfb4,6,pour mixture into pan,The mixture is now poured into the pan.,7,flip pancake,Pancake is now flipped over.,205.82,210.39,275.77,277.53,6,7,True,Complete the task: Make Pancakes.,flip pancake -> take pancake from pan,0.625
91515,Make Pancakes,doifG6rDfb4,7,flip pancake,Pancake is now flipped over.,7,flip pancake,Pancake is now flipped over.,275.77,277.53,291.52,303.57,7,7,True,Complete the task: Make Pancakes.,take pancake from pan,0.75
91515,Make Pancakes,doifG6rDfb4,7,flip pancake,Pancake is now flipped over.,8,take pancake from pan,The pancake is now removed from the pan.,291.52,303.57,304.38,304.98,7,8,True,Complete the task: Make Pancakes.,take pancake from pan,0.75
91515,Make Pancakes,doifG6rDfb4,8,take pancake from pan,The pancake is now removed from the pan.,6,pour mixture into pan,The mixture is now poured into the pan.,304.38,304.98,307.06,320.54,8,6,False,Complete the task: Make Pancakes.,(task complete),0.875
91515,Make Pancakes,doifG6rDfb4,6,pour mixture into pan,The mixture is now poured into the pan.,7,flip pancake,Pancake is now flipped over.,307.06,320.54,343.38,353.05,6,7,True,Complete the task: Make Pancakes.,(task complete),0.875
91515,Make Pancakes,doifG6rDfb4,7,flip pancake,Pancake is now flipped over.,7,flip pancake,Pancake is now flipped over.,343.38,353.05,370.01,372.53,7,7,True,Complete the task: Make Pancakes.,(task complete),0.875
91515,Make Pancakes,doifG6rDfb4,7,flip pancake,Pancake is now flipped over.,8,take pancake from pan,The pancake is now removed from the pan.,370.01,372.53,377.04,377.55,7,8,True,Complete the task: Make Pancakes.,(task complete),0.875
91515,Make Pancakes,doifG6rDfb4,8,take pancake from pan,The pancake is now removed from the pan.,6,pour mixture into pan,The mixture is now poured into the pan.,377.04,377.55,387.86,395.69,8,6,False,Complete the task: Make Pancakes.,(task complete),0.875
91515,Make Pancakes,doifG6rDfb4,6,pour mixture into pan,The mixture is now poured into the pan.,7,flip pancake,Pancake is now flipped over.,387.86,395.69,408.41,409.35,6,7,True,Complete the task: Make Pancakes.,(task complete),0.875
91515,Make Pancakes,doifG6rDfb4,7,flip pancake,Pancake is now flipped over.,8,take pancake from pan,The pancake is now removed from the pan.,408.41,409.35,426.91,427.7,7,8,True,Complete the task: Make Pancakes.,(task complete),0.875
91515,Make Pancakes,doifG6rDfb4,8,take pancake from pan,The pancake is now removed from the pan.,6,pour mixture into pan,The mixture is now poured into the pan.,426.91,427.7,428.52,440.68,8,6,False,Complete the task: Make Pancakes.,(task complete),0.875
91515,Make Pancakes,doifG6rDfb4,6,pour mixture into pan,The mixture is now poured into the pan.,7,flip pancake,Pancake is now flipped over.,428.52,440.68,449.45,454.99,6,7,True,Complete the task: Make Pancakes.,(task complete),0.875
91515,Make Pancakes,doifG6rDfb4,7,flip pancake,Pancake is now flipped over.,8,take pancake from pan,The pancake is now removed from the pan.,449.45,454.99,460.23,461.03,7,8,True,Complete the task: Make Pancakes.,(task complete),0.875
91515,Make Pancakes,doifG6rDfb4,8,take pancake from pan,The pancake is now removed from the pan.,6,pour mixture into pan,The mixture is now poured into the pan.,460.23,461.03,463.79,468.9,8,6,False,Complete the task: Make Pancakes.,(task complete),0.875
91515,Make Pancakes,doifG6rDfb4,6,pour mixture into pan,The mixture is now poured into the pan.,7,flip pancake,Pancake is now flipped over.,463.79,468.9,495.84,498.61,6,7,True,Complete the task: Make Pancakes.,(task complete),0.875
91515,Make Pancakes,doifG6rDfb4,7,flip pancake,Pancake is now flipped over.,8,take pancake from pan,The pancake is now removed from the pan.,495.84,498.61,526.16,526.93,7,8,True,Complete the task: Make Pancakes.,(task complete),0.875
91515,Make Pancakes,HFKv-Asj_LY,2,add sugar,Sugar is now added to the mixture.,5,whisk mixture,Mixture is now whisked until smooth.,70.46,73.06,77.02,92.92,2,5,True,Complete the task: Make Pancakes.,pour milk -> pour egg -> whisk mixture -> pour mixture into pan -> flip pancake -> take pancake from pan,0.125
91515,Make Pancakes,HFKv-Asj_LY,5,whisk mixture,Mixture is now whisked until smooth.,3,pour milk,Milk is now poured in.,77.02,92.92,112.79,123.79,5,3,False,Complete the task: Make Pancakes.,pour mixture into pan -> flip pancake -> take pancake from pan,0.25
91515,Make Pancakes,HFKv-Asj_LY,3,pour milk,Milk is now poured in.,5,whisk mixture,Mixture is now whisked until smooth.,112.79,123.79,141.63,173.43,3,5,True,Complete the task: Make Pancakes.,pour mixture into pan -> flip pancake -> take pancake from pan,0.375
91515,Make Pancakes,HFKv-Asj_LY,5,whisk mixture,Mixture is now whisked until smooth.,7,flip pancake,Pancake is now flipped over.,141.63,173.43,186.92,200.81,5,7,True,Complete the task: Make Pancakes.,pour mixture into pan -> flip pancake -> take pancake from pan,0.375
91515,Make Pancakes,ejq2ZsHgwFk,1,add flour,Flour is now added to the mixture.,2,add sugar,Sugar is now added to the mixture.,19.7,22.7,26.1,29.1,1,2,True,Complete the task: Make Pancakes.,add sugar -> pour milk -> pour egg -> whisk mixture -> pour mixture into pan -> flip pancake -> take pancake from pan,0.125
91515,Make Pancakes,ejq2ZsHgwFk,2,add sugar,Sugar is now added to the mixture.,4,pour egg,Egg is now poured in.,26.1,29.1,44.55,47.55,2,4,True,Complete the task: Make Pancakes.,pour milk -> pour egg -> whisk mixture -> pour mixture into pan -> flip pancake -> take pancake from pan,0.25
91515,Make Pancakes,ejq2ZsHgwFk,4,pour egg,Egg is now poured in.,5,whisk mixture,Mixture is now whisked until smooth.,44.55,47.55,60.83,71.03,4,5,True,Complete the task: Make Pancakes.,whisk mixture -> pour mixture into pan -> flip pancake -> take pancake from pan,0.375
91515,Make Pancakes,ejq2ZsHgwFk,5,whisk mixture,Mixture is now whisked until smooth.,3,pour milk,Milk is now poured in.,60.83,71.03,73.41,76.61,5,3,False,Complete the task: Make Pancakes.,pour mixture into pan -> flip pancake -> take pancake from pan,0.5
91515,Make Pancakes,ejq2ZsHgwFk,3,pour milk,Milk is now poured in.,5,whisk mixture,Mixture is now whisked until smooth.,73.41,76.61,77.11,81.21,3,5,True,Complete the task: Make Pancakes.,pour mixture into pan -> flip pancake -> take pancake from pan,0.625
91515,Make Pancakes,ejq2ZsHgwFk,5,whisk mixture,Mixture is now whisked until smooth.,6,pour mixture into pan,The mixture is now poured into the pan.,77.11,81.21,86.09,104.59,5,6,True,Complete the task: Make Pancakes.,pour mixture into pan -> flip pancake -> take pancake from pan,0.625
91515,Make Pancakes,ejq2ZsHgwFk,6,pour mixture into pan,The mixture is now poured into the pan.,7,flip pancake,Pancake is now flipped over.,86.09,104.59,108.18,111.98,6,7,True,Complete the task: Make Pancakes.,flip pancake -> take pancake from pan,0.75
91515,Make Pancakes,ejq2ZsHgwFk,7,flip pancake,Pancake is now flipped over.,8,take pancake from pan,The pancake is now removed from the pan.,108.18,111.98,118.62,123.82,7,8,True,Complete the task: Make Pancakes.,take pancake from pan,0.875
