task_id,task_name,video_id,transition_id,seg_pos,next_seg_pos,step_idx,action_id,action,state_change,next_step_idx,next_action_id,next_action,next_state_change,action_start,action_end,next_action_start,next_action_end,roi_start,roi_end,canonical_order,next_canonical_order,is_canonical_next,is_time_ordered,task_goal,remaining_plan,plan_progress
0,UseAnalyticalBalance,-aOIRnd7Mvs,0_-aOIRnd7Mvs_3,3,4,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,3,67,zeroing set,The state changes: zeroing set is performed.,64.0,91.0,105.0,124.0,16.366676247927064,144.97604448217174,4,3,False,True,Complete the task: Use Analytical Balance.,(task complete),1.0
0,UseAnalyticalBalance,-aOIRnd7Mvs,0_-aOIRnd7Mvs_4,4,5,3,67,zeroing set,The state changes: zeroing set is performed.,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,105.0,124.0,125.0,134.0,16.366676247927064,144.97604448217174,3,4,True,True,Complete the task: Use Analytical Balance.,(task complete),1.0
0,UseAnalyticalBalance,00n3IEqYBME,0_00n3IEqYBME_0,0,1,2,66,place a piece of paper on weighing pan,A piece of paper on weighing pan is now placed in position.,3,67,zeroing set,The state changes: zeroing set is performed.,79.0,85.0,86.0,87.0,69.04943410685789,106.63705236862458,2,3,True,True,Complete the task: Use Analytical Balance.,zeroing set -> place weighing sample on weighing pan and read,0.5
0,UseAnalyticalBalance,00n3IEqYBME,0_00n3IEqYBME_1,1,2,3,67,zeroing set,The state changes: zeroing set is performed.,2,66,place a piece of paper on weighing pan,A piece of paper on weighing pan is now placed in position.,86.0,87.0,88.0,89.0,69.04943410685789,106.63705236862458,3,2,False,True,Complete the task: Use Analytical Balance.,place weighing sample on weighing pan and read,0.75
0,UseAnalyticalBalance,00n3IEqYBME,0_00n3IEqYBME_2,2,3,2,66,place a piece of paper on weighing pan,A piece of paper on weighing pan is now placed in position.,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,88.0,89.0,90.0,96.0,69.04943410685789,106.63705236862458,2,4,True,True,Complete the task: Use Analytical Balance.,place weighing sample on weighing pan and read,0.75
0,UseAnalyticalBalance,054rupCcLvw,0_054rupCcLvw_0,0,1,3,67,zeroing set,The state changes: zeroing set is performed.,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,67.0,75.0,76.0,98.0,60.698625784618855,98.916667,3,4,True,True,Complete the task: Use Analytical Balance.,place weighing sample on weighing pan and read,0.75
0,UseAnalyticalBalance,0jvjFxjy9t4,0_0jvjFxjy9t4_0,0,1,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,3,67,zeroing set,The state changes: zeroing set is performed.,44.0,67.0,69.0,71.0,33.18797743097057,129.637,4,3,False,True,Complete the task: Use Analytical Balance.,(task complete),1.0
0,UseAnalyticalBalance,0jvjFxjy9t4,0_0jvjFxjy9t4_1,1,2,3,67,zeroing set,The state changes: zeroing set is performed.,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,69.0,71.0,72.0,101.0,33.18797743097057,129.637,3,4,True,True,Complete the task: Use Analytical Balance.,(task complete),1.0
0,UseAnalyticalBalance,0jvjFxjy9t4,0_0jvjFxjy9t4_2,2,3,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,3,67,zeroing set,The state changes: zeroing set is performed.,72.0,101.0,105.0,129.0,33.18797743097057,129.637,4,3,False,True,Complete the task: Use Analytical Balance.,(task complete),1.0
0,UseAnalyticalBalance,12UiaKVkjEY,0_12UiaKVkjEY_0,0,1,3,67,zeroing set,The state changes: zeroing set is performed.,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,48.0,50.0,51.0,73.0,45.724930768118426,99.27571517243749,3,4,True,True,Complete the task: Use Analytical Balance.,place weighing sample on weighing pan and read,0.75
0,UseAnalyticalBalance,12UiaKVkjEY,0_12UiaKVkjEY_1,1,2,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,3,67,zeroing set,The state changes: zeroing set is performed.,51.0,73.0,79.0,82.0,45.724930768118426,99.27571517243749,4,3,False,True,Complete the task: Use Analytical Balance.,(task complete),1.0
0,UseAnalyticalBalance,12UiaKVkjEY,0_12UiaKVkjEY_2,2,3,3,67,zeroing set,The state changes: zeroing set is performed.,1,65,clean inner wall of container,Inner wall of container is now cleaned.,79.0,82.0,94.0,97.0,45.724930768118426,99.27571517243749,3,1,False,True,Complete the task: Use Analytical Balance.,(task complete),1.0
0,UseAnalyticalBalance,4i6V7HTaaSI,0_4i6V7HTaaSI_0,0,1,2,66,place a piece of paper on weighing pan,A piece of paper on weighing pan is now placed in position.,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,89.0,105.0,106.0,146.0,81.84384210038273,153.8418556827464,2,4,True,True,Complete the task: Use Analytical Balance.,zeroing set -> place weighing sample on weighing pan and read,0.5
0,UseAnalyticalBalance,4i6V7HTaaSI,0_4i6V7HTaaSI_1,1,2,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,1,65,clean inner wall of container,Inner wall of container is now cleaned.,106.0,146.0,151.0,153.0,81.84384210038273,153.8418556827464,4,1,False,True,Complete the task: Use Analytical Balance.,(task complete),1.0
0,UseAnalyticalBalance,5Vi99Z3F1F8,0_5Vi99Z3F1F8_0,0,1,3,67,zeroing set,The state changes: zeroing set is performed.,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,14.0,18.0,27.0,50.0,6.52058601179014,52.15774475860867,3,4,True,True,Complete the task: Use Analytical Balance.,place weighing sample on weighing pan and read,0.75
0,UseAnalyticalBalance,6iu9i8QE6Xk,0_6iu9i8QE6Xk_0,0,1,3,67,zeroing set,The state changes: zeroing set is performed.,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,4.0,17.0,18.0,120.0,0.0,121.091667,3,4,True,True,Complete the task: Use Analytical Balance.,place weighing sample on weighing pan and read,0.75
0,UseAnalyticalBalance,6s9MAFdSqlo,0_6s9MAFdSqlo_0,0,1,1,65,clean inner wall of container,Inner wall of container is now cleaned.,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,32.0,36.0,54.0,82.0,29.39533313104163,88.61005749382929,1,4,True,True,Complete the task: Use Analytical Balance.,place a piece of paper on weighing pan -> zeroing set -> place weighing sample on weighing pan and read,0.25
0,UseAnalyticalBalance,6s9MAFdSqlo,0_6s9MAFdSqlo_1,1,2,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,1,65,clean inner wall of container,Inner wall of container is now cleaned.,54.0,82.0,83.0,87.0,29.39533313104163,88.61005749382929,4,1,False,True,Complete the task: Use Analytical Balance.,(task complete),1.0
0,UseAnalyticalBalance,7Q-OdK-38G4,0_7Q-OdK-38G4_0,0,1,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,3,67,zeroing set,The state changes: zeroing set is performed.,0.0,9.0,12.0,17.0,0.0,37.198367,4,3,False,True,Complete the task: Use Analytical Balance.,(task complete),1.0
0,UseAnalyticalBalance,7Q-OdK-38G4,0_7Q-OdK-38G4_1,1,2,3,67,zeroing set,The state changes: zeroing set is performed.,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,12.0,17.0,18.0,34.0,0.0,37.198367,3,4,True,True,Complete the task: Use Analytical Balance.,(task complete),1.0
0,UseAnalyticalBalance,8nrt8d3uOJw,0_8nrt8d3uOJw_0,0,1,3,67,zeroing set,The state changes: zeroing set is performed.,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,43.0,66.0,67.0,85.0,34.352607249267,115.333511,3,4,True,True,Complete the task: Use Analytical Balance.,place weighing sample on weighing pan and read,0.75
0,UseAnalyticalBalance,8nrt8d3uOJw,0_8nrt8d3uOJw_1,1,2,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,3,67,zeroing set,The state changes: zeroing set is performed.,67.0,85.0,86.0,108.0,34.352607249267,115.333511,4,3,False,True,Complete the task: Use Analytical Balance.,(task complete),1.0
0,UseAnalyticalBalance,98nJgs8xuCg,0_98nJgs8xuCg_0,0,1,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,3,67,zeroing set,The state changes: zeroing set is performed.,35.0,49.0,50.0,52.0,32.036070277365866,73.71317705858249,4,3,False,True,Complete the task: Use Analytical Balance.,(task complete),1.0
0,UseAnalyticalBalance,98nJgs8xuCg,0_98nJgs8xuCg_1,1,2,3,67,zeroing set,The state changes: zeroing set is performed.,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,50.0,52.0,60.0,67.0,32.036070277365866,73.71317705858249,3,4,True,True,Complete the task: Use Analytical Balance.,(task complete),1.0
0,UseAnalyticalBalance,9PzLj0Vg0BE,0_9PzLj0Vg0BE_0,0,1,3,67,zeroing set,The state changes: zeroing set is performed.,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,65.0,69.0,70.0,82.0,60.932569952060604,92.1299313763434,3,4,True,True,Complete the task: Use Analytical Balance.,place weighing sample on weighing pan and read,0.75
0,UseAnalyticalBalance,9hsBX7dWzlE,0_9hsBX7dWzlE_0,0,1,3,67,zeroing set,The state changes: zeroing set is performed.,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,19.0,58.0,70.0,125.0,18.478687369146797,125.87359418493907,3,4,True,True,Complete the task: Use Analytical Balance.,place weighing sample on weighing pan and read,0.75
0,UseAnalyticalBalance,BUfVZWWssjo,0_BUfVZWWssjo_0,0,1,2,66,place a piece of paper on weighing pan,A piece of paper on weighing pan is now placed in position.,3,67,zeroing set,The state changes: zeroing set is performed.,37.0,52.0,53.0,64.0,36.51271578976224,126.478333,2,3,True,True,Complete the task: Use Analytical Balance.,zeroing set -> place weighing sample on weighing pan and read,0.5
0,UseAnalyticalBalance,BUfVZWWssjo,0_BUfVZWWssjo_1,1,2,3,67,zeroing set,The state changes: zeroing set is performed.,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,53.0,64.0,65.0,125.0,36.51271578976224,126.478333,3,4,True,True,Complete the task: Use Analytical Balance.,place weighing sample on weighing pan and read,0.75
0,UseAnalyticalBalance,Bt1j4zeuZ9E,0_Bt1j4zeuZ9E_0,0,1,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,3,67,zeroing set,The state changes: zeroing set is performed.,5.0,9.0,10.0,13.0,3.99673212829386,19.585955499627204,4,3,False,True,Complete the task: Use Analytical Balance.,(task complete),1.0
0,UseAnalyticalBalance,Bt1j4zeuZ9E,0_Bt1j4zeuZ9E_1,1,2,3,67,zeroing set,The state changes: zeroing set is performed.,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,10.0,13.0,14.0,19.0,3.99673212829386,19.585955499627204,3,4,True,True,Complete the task: Use Analytical Balance.,(task complete),1.0
0,UseAnalyticalBalance,CDgoJTgIL80,0_CDgoJTgIL80_0,0,1,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,3,67,zeroing set,The state changes: zeroing set is performed.,41.0,50.0,51.0,53.0,29.316759640622713,221.37306719751365,4,3,False,True,Complete the task: Use Analytical Balance.,(task complete),1.0
0,UseAnalyticalBalance,CDgoJTgIL80,0_CDgoJTgIL80_1,1,2,3,67,zeroing set,The state changes: zeroing set is performed.,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,51.0,53.0,54.0,63.0,29.316759640622713,221.37306719751365,3,4,True,True,Complete the task: Use Analytical Balance.,(task complete),1.0
0,UseAnalyticalBalance,CDgoJTgIL80,0_CDgoJTgIL80_2,2,3,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,3,67,zeroing set,The state changes: zeroing set is performed.,54.0,63.0,88.0,89.0,29.316759640622713,221.37306719751365,4,3,False,True,Complete the task: Use Analytical Balance.,(task complete),1.0
0,UseAnalyticalBalance,CDgoJTgIL80,0_CDgoJTgIL80_3,3,4,3,67,zeroing set,The state changes: zeroing set is performed.,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,88.0,89.0,94.0,154.0,29.316759640622713,221.37306719751365,3,4,True,True,Complete the task: Use Analytical Balance.,(task complete),1.0
0,UseAnalyticalBalance,CDgoJTgIL80,0_CDgoJTgIL80_4,4,5,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,3,67,zeroing set,The state changes: zeroing set is performed.,94.0,154.0,155.0,160.0,29.316759640622713,221.37306719751365,4,3,False,True,Complete the task: Use Analytical Balance.,(task complete),1.0
0,UseAnalyticalBalance,CDgoJTgIL80,0_CDgoJTgIL80_5,5,6,3,67,zeroing set,The state changes: zeroing set is performed.,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,155.0,160.0,161.0,173.0,29.316759640622713,221.37306719751365,3,4,True,True,Complete the task: Use Analytical Balance.,(task complete),1.0
0,UseAnalyticalBalance,CDgoJTgIL80,0_CDgoJTgIL80_6,6,7,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,3,67,zeroing set,The state changes: zeroing set is performed.,161.0,173.0,174.0,179.0,29.316759640622713,221.37306719751365,4,3,False,True,Complete the task: Use Analytical Balance.,(task complete),1.0
0,UseAnalyticalBalance,CDgoJTgIL80,0_CDgoJTgIL80_7,7,8,3,67,zeroing set,The state changes: zeroing set is performed.,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,174.0,179.0,194.0,217.0,29.316759640622713,221.37306719751365,3,4,True,True,Complete the task: Use Analytical Balance.,(task complete),1.0
0,UseAnalyticalBalance,CNahxRg9QEk,0_CNahxRg9QEk_0,0,1,2,66,place a piece of paper on weighing pan,A piece of paper on weighing pan is now placed in position.,3,67,zeroing set,The state changes: zeroing set is performed.,31.0,50.0,51.0,60.0,29.06831616718919,105.85846675919346,2,3,True,True,Complete the task: Use Analytical Balance.,zeroing set -> place weighing sample on weighing pan and read,0.5
0,UseAnalyticalBalance,CNahxRg9QEk,0_CNahxRg9QEk_1,1,2,3,67,zeroing set,The state changes: zeroing set is performed.,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,51.0,60.0,70.0,92.0,29.06831616718919,105.85846675919346,3,4,True,True,Complete the task: Use Analytical Balance.,place weighing sample on weighing pan and read,0.75
0,UseAnalyticalBalance,CNahxRg9QEk,0_CNahxRg9QEk_2,2,3,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,1,65,clean inner wall of container,Inner wall of container is now cleaned.,70.0,92.0,96.0,103.0,29.06831616718919,105.85846675919346,4,1,False,True,Complete the task: Use Analytical Balance.,(task complete),1.0
0,UseAnalyticalBalance,CbX4gcXN60A,0_CbX4gcXN60A_0,0,1,2,66,place a piece of paper on weighing pan,A piece of paper on weighing pan is now placed in position.,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,37.0,65.0,66.0,146.0,35.60999353070207,159.3965726267708,2,4,True,True,Complete the task: Use Analytical Balance.,zeroing set -> place weighing sample on weighing pan and read,0.5
0,UseAnalyticalBalance,CbX4gcXN60A,0_CbX4gcXN60A_1,1,2,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,1,65,clean inner wall of container,Inner wall of container is now cleaned.,66.0,146.0,149.0,154.0,35.60999353070207,159.3965726267708,4,1,False,True,Complete the task: Use Analytical Balance.,(task complete),1.0
0,UseAnalyticalBalance,DGYvzn6-EAE,0_DGYvzn6-EAE_0,0,1,2,66,place a piece of paper on weighing pan,A piece of paper on weighing pan is now placed in position.,3,67,zeroing set,The state changes: zeroing set is performed.,38.0,46.0,47.0,48.0,29.864987325209285,98.12552628047402,2,3,True,True,Complete the task: Use Analytical Balance.,zeroing set -> place weighing sample on weighing pan and read,0.5
0,UseAnalyticalBalance,DGYvzn6-EAE,0_DGYvzn6-EAE_1,1,2,3,67,zeroing set,The state changes: zeroing set is performed.,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,47.0,48.0,57.0,89.0,29.864987325209285,98.12552628047402,3,4,True,True,Complete the task: Use Analytical Balance.,place weighing sample on weighing pan and read,0.75
0,UseAnalyticalBalance,ERei-Qoc2nM,0_ERei-Qoc2nM_0,0,1,2,66,place a piece of paper on weighing pan,A piece of paper on weighing pan is now placed in position.,3,67,zeroing set,The state changes: zeroing set is performed.,144.0,156.0,157.0,164.0,127.96353239484608,210.651422,2,3,True,True,Complete the task: Use Analytical Balance.,zeroing set -> place weighing sample on weighing pan and read,0.5
0,UseAnalyticalBalance,ERei-Qoc2nM,0_ERei-Qoc2nM_1,1,2,3,67,zeroing set,The state changes: zeroing set is performed.,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,157.0,164.0,165.0,200.0,127.96353239484608,210.651422,3,4,True,True,Complete the task: Use Analytical Balance.,place weighing sample on weighing pan and read,0.75
0,UseAnalyticalBalance,Ew0saBVGDNg,0_Ew0saBVGDNg_0,0,1,2,66,place a piece of paper on weighing pan,A piece of paper on weighing pan is now placed in position.,3,67,zeroing set,The state changes: zeroing set is performed.,26.0,28.0,29.0,43.0,20.135283718714163,92.04972233889158,2,3,True,True,Complete the task: Use Analytical Balance.,zeroing set -> place weighing sample on weighing pan and read,0.5
0,UseAnalyticalBalance,Ew0saBVGDNg,0_Ew0saBVGDNg_1,1,2,3,67,zeroing set,The state changes: zeroing set is performed.,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,29.0,43.0,44.0,87.0,20.135283718714163,92.04972233889158,3,4,True,True,Complete the task: Use Analytical Balance.,place weighing sample on weighing pan and read,0.75
0,UseAnalyticalBalance,GBN--4CCwAA,0_GBN--4CCwAA_0,0,1,3,67,zeroing set,The state changes: zeroing set is performed.,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,2.0,12.0,13.0,53.0,0.0,53.706667,3,4,True,True,Complete the task: Use Analytical Balance.,place weighing sample on weighing pan and read,0.75
0,UseAnalyticalBalance,JJOXbrm07DU,0_JJOXbrm07DU_0,0,1,3,67,zeroing set,The state changes: zeroing set is performed.,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,0.0,23.0,24.0,70.0,0.0,70.588656,3,4,True,True,Complete the task: Use Analytical Balance.,place weighing sample on weighing pan and read,0.75
0,UseAnalyticalBalance,KX-2N8s-jh8,0_KX-2N8s-jh8_0,0,1,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,3,67,zeroing set,The state changes: zeroing set is performed.,27.0,31.0,52.0,59.0,16.623641059399212,96.50091669568184,4,3,False,True,Complete the task: Use Analytical Balance.,(task complete),1.0
0,UseAnalyticalBalance,KX-2N8s-jh8,0_KX-2N8s-jh8_1,1,2,3,67,zeroing set,The state changes: zeroing set is performed.,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,52.0,59.0,64.0,92.0,16.623641059399212,96.50091669568184,3,4,True,True,Complete the task: Use Analytical Balance.,(task complete),1.0
0,UseAnalyticalBalance,M3XH1mvTVDM,0_M3XH1mvTVDM_0,0,1,3,67,zeroing set,The state changes: zeroing set is performed.,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,18.0,25.0,90.0,189.0,9.780512535810967,191.69029182570225,3,4,True,True,Complete the task: Use Analytical Balance.,place weighing sample on weighing pan and read,0.75
0,UseAnalyticalBalance,MK3G36enoYk,0_MK3G36enoYk_0,0,1,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,3,67,zeroing set,The state changes: zeroing set is performed.,14.0,15.0,16.0,17.0,4.322510535519015,90.20651354613207,4,3,False,True,Complete the task: Use Analytical Balance.,(task complete),1.0
0,UseAnalyticalBalance,MK3G36enoYk,0_MK3G36enoYk_1,1,2,3,67,zeroing set,The state changes: zeroing set is performed.,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,16.0,17.0,39.0,57.0,4.322510535519015,90.20651354613207,3,4,True,True,Complete the task: Use Analytical Balance.,(task complete),1.0
0,UseAnalyticalBalance,MK3G36enoYk,0_MK3G36enoYk_2,2,3,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,3,67,zeroing set,The state changes: zeroing set is performed.,39.0,57.0,82.0,87.0,4.322510535519015,90.20651354613207,4,3,False,True,Complete the task: Use Analytical Balance.,(task complete),1.0
0,UseAnalyticalBalance,MuT5v6AdeyQ,0_MuT5v6AdeyQ_0,0,1,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,3,67,zeroing set,The state changes: zeroing set is performed.,9.0,22.0,23.0,33.0,0.019398913541701646,111.943333,4,3,False,True,Complete the task: Use Analytical Balance.,(task complete),1.0
0,UseAnalyticalBalance,MuT5v6AdeyQ,0_MuT5v6AdeyQ_1,1,2,3,67,zeroing set,The state changes: zeroing set is performed.,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,23.0,33.0,34.0,49.0,0.019398913541701646,111.943333,3,4,True,True,Complete the task: Use Analytical Balance.,(task complete),1.0
0,UseAnalyticalBalance,MuT5v6AdeyQ,0_MuT5v6AdeyQ_2,2,3,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,3,67,zeroing set,The state changes: zeroing set is performed.,34.0,49.0,50.0,59.0,0.019398913541701646,111.943333,4,3,False,True,Complete the task: Use Analytical Balance.,(task complete),1.0
0,UseAnalyticalBalance,MuT5v6AdeyQ,0_MuT5v6AdeyQ_3,3,4,3,67,zeroing set,The state changes: zeroing set is performed.,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,50.0,59.0,60.0,77.0,0.019398913541701646,111.943333,3,4,True,True,Complete the task: Use Analytical Balance.,(task complete),1.0
0,UseAnalyticalBalance,MuT5v6AdeyQ,0_MuT5v6AdeyQ_4,4,5,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,3,67,zeroing set,The state changes: zeroing set is performed.,60.0,77.0,78.0,83.0,0.019398913541701646,111.943333,4,3,False,True,Complete the task: Use Analytical Balance.,(task complete),1.0
0,UseAnalyticalBalance,MuT5v6AdeyQ,0_MuT5v6AdeyQ_5,5,6,3,67,zeroing set,The state changes: zeroing set is performed.,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,78.0,83.0,84.0,100.0,0.019398913541701646,111.943333,3,4,True,True,Complete the task: Use Analytical Balance.,(task complete),1.0
0,UseAnalyticalBalance,MuT5v6AdeyQ,0_MuT5v6AdeyQ_6,6,7,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,3,67,zeroing set,The state changes: zeroing set is performed.,84.0,100.0,101.0,108.0,0.019398913541701646,111.943333,4,3,False,True,Complete the task: Use Analytical Balance.,(task complete),1.0
